,X,column_names,site_pos,core_pos,depth_pos,depth_m,Label,Def1,season,year,site,depth,core,mag.vec,duration
162,162,BARR_501_001,BARR,1,501,-0.02,Keep,2,activelayer,2,BARR,501,1,0.1,24
163,163,BARR_501_002,BARR,2,501,-0.02,Keep,2,activelayer,2,BARR,501,2,0.1,24
164,164,BARR_501_003,BARR,3,501,-0.01,Keep,1,activelayer,2,BARR,501,3,0.1,24
165,165,BARR_501_004,BARR,4,501,-0.02,Exclude,NA,activelayer,2,BARR,501,4,0.1,24
166,166,BARR_501_005,BARR,5,501,-0.02,Keep,5,activelayer,2,BARR,501,5,0.1,24
167,167,BARR_502_001,BARR,1,502,-0.06,Keep,3,activelayer,2,BARR,502,1,0.1,24
168,168,BARR_502_002,BARR,2,502,-0.06,Keep,2,activelayer,2,BARR,502,2,0.1,24
169,169,BARR_502_003,BARR,3,502,-0.05,Keep,3,activelayer,2,BARR,502,3,0.1,24
170,170,BARR_502_004,BARR,4,502,-0.06,Keep,2,activelayer,2,BARR,502,4,0.1,24
171,171,BARR_502_005,BARR,5,502,-0.06,Keep,4,activelayer,2,BARR,502,5,0.1,24
172,172,BARR_503_001,BARR,1,503,-0.16,Exclude,NA,activelayer,2,BARR,503,1,0.1,24
173,173,BARR_503_002,BARR,2,503,-0.16,Exclude,NA,activelayer,2,BARR,503,2,0.1,24
174,174,BARR_503_003,BARR,3,503,-0.15,Keep,0,activelayer,2,BARR,503,3,0.1,24
175,175,BARR_503_004,BARR,4,503,-0.16,Keep,0,activelayer,2,BARR,503,4,0.1,24
176,176,BARR_503_005,BARR,5,503,-0.16,Keep,2,activelayer,2,BARR,503,5,0.1,24
177,177,BARR_504_001,BARR,1,504,-0.26,Keep,0,activelayer,2,BARR,504,1,0.1,24
178,178,BARR_504_002,BARR,2,504,-0.26,Exclude,NA,activelayer,2,BARR,504,2,0.1,24
179,179,BARR_504_003,BARR,3,504,-0.25,Keep,0,activelayer,2,BARR,504,3,0.1,24
180,180,BARR_504_004,BARR,4,504,-0.26,Keep,0,activelayer,2,BARR,504,4,0.1,24
181,181,BARR_504_005,BARR,5,504,-0.26,Keep,0,activelayer,2,BARR,504,5,0.1,24
182,182,BARR_505_001,BARR,1,505,-0.36,Keep,0,activelayer,2,BARR,505,1,0.1,24
183,183,BARR_505_002,BARR,2,505,-0.36,Exclude,NA,activelayer,2,BARR,505,2,0.1,24
184,184,BARR_505_003,BARR,3,505,-0.35,Keep,0,activelayer,2,BARR,505,3,0.1,24
185,185,BARR_505_004,BARR,4,505,-0.36,Keep,0,activelayer,2,BARR,505,4,0.1,24
186,186,BARR_505_005,BARR,5,505,-0.36,Keep,0,activelayer,2,BARR,505,5,0.1,24
187,187,BARR_506_001,BARR,1,506,-0.56,Keep,0,activelayer,2,BARR,506,1,0.1,24
188,188,BARR_506_002,BARR,2,506,-0.56,Keep,0,activelayer,2,BARR,506,2,0.1,24
189,189,BARR_506_003,BARR,3,506,-0.55,Keep,0,activelayer,2,BARR,506,3,0.1,24
190,190,BARR_506_004,BARR,4,506,-0.56,Keep,0,activelayer,2,BARR,506,4,0.1,24
191,191,BARR_506_005,BARR,5,506,-0.56,Exclude,NA,activelayer,2,BARR,506,5,0.1,24
192,192,BARR_507_001,BARR,1,507,-0.86,Keep,0,activelayer,2,BARR,507,1,0.1,24
193,193,BARR_507_002,BARR,2,507,-0.86,Keep,0,activelayer,2,BARR,507,2,0.1,24
194,194,BARR_507_003,BARR,3,507,-0.85,Keep,0,activelayer,2,BARR,507,3,0.1,24
195,195,BARR_507_004,BARR,4,507,-0.86,Keep,0,activelayer,2,BARR,507,4,0.1,24
196,196,BARR_507_005,BARR,5,507,-0.86,Keep,0,activelayer,2,BARR,507,5,0.1,24
197,197,BARR_508_001,BARR,1,508,-1.36,Keep,0,activelayer,2,BARR,508,1,0.1,24
198,198,BARR_508_002,BARR,2,508,-1.36,Keep,0,activelayer,2,BARR,508,2,0.1,24
199,199,BARR_508_003,BARR,3,508,-1.35,Keep,0,activelayer,2,BARR,508,3,0.1,24
200,200,BARR_508_004,BARR,4,508,-1.36,Keep,0,activelayer,2,BARR,508,4,0.1,24
201,201,BARR_508_005,BARR,5,508,-1.36,Keep,0,activelayer,2,BARR,508,5,0.1,24
202,202,BARR_509_001,BARR,1,509,-1.76,Keep,0,activelayer,2,BARR,509,1,0.1,24
203,203,BARR_509_002,BARR,2,509,-2.26,Keep,0,activelayer,2,BARR,509,2,0.1,24
204,204,BARR_509_003,BARR,3,509,-1.75,Keep,0,activelayer,2,BARR,509,3,0.1,24
205,205,BARR_509_004,BARR,4,509,-1.96,Keep,0,activelayer,2,BARR,509,4,0.1,24
206,206,BARR_509_005,BARR,5,509,-1.86,Keep,0,activelayer,2,BARR,509,5,0.1,24
207,207,BONA_501_001,BONA,1,501,-0.02,Keep,6,activelayer,2,BONA,501,1,0.1,24
208,208,BONA_501_002,BONA,2,501,-0.01,Keep,5,activelayer,2,BONA,501,2,0.1,24
209,209,BONA_501_003,BONA,3,501,-0.02,Keep,6,activelayer,2,BONA,501,3,0.1,24
210,210,BONA_501_004,BONA,4,501,-0.02,Keep,4,activelayer,2,BONA,501,4,0.1,24
211,211,BONA_501_005,BONA,5,501,-0.03,Keep,4,activelayer,2,BONA,501,5,0.1,24
212,212,BONA_502_001,BONA,1,502,-0.06,Keep,6,activelayer,2,BONA,502,1,0.1,24
213,213,BONA_502_002,BONA,2,502,-0.05,Keep,4,activelayer,2,BONA,502,2,0.1,24
214,214,BONA_502_003,BONA,3,502,-0.06,Keep,4,activelayer,2,BONA,502,3,0.1,24
215,215,BONA_502_004,BONA,4,502,-0.06,Keep,4,activelayer,2,BONA,502,4,0.1,24
216,216,BONA_502_005,BONA,5,502,-0.07,Keep,4,activelayer,2,BONA,502,5,0.1,24
217,217,BONA_503_001,BONA,1,503,-0.16,Keep,4,activelayer,2,BONA,503,1,0.1,24
218,218,BONA_503_002,BONA,2,503,-0.15,Keep,3,activelayer,2,BONA,503,2,0.1,24
219,219,BONA_503_003,BONA,3,503,-0.16,Keep,4,activelayer,2,BONA,503,3,0.1,24
220,220,BONA_503_004,BONA,4,503,-0.16,Keep,2,activelayer,2,BONA,503,4,0.1,24
221,221,BONA_503_005,BONA,5,503,-0.17,Keep,3,activelayer,2,BONA,503,5,0.1,24
222,222,BONA_504_001,BONA,1,504,-0.26,Keep,2,activelayer,2,BONA,504,1,0.1,24
223,223,BONA_504_002,BONA,2,504,-0.25,Keep,3,activelayer,2,BONA,504,2,0.1,24
224,224,BONA_504_003,BONA,3,504,-0.26,Keep,4,activelayer,2,BONA,504,3,0.1,24
225,225,BONA_504_004,BONA,4,504,-0.26,Keep,3,activelayer,2,BONA,504,4,0.1,24
226,226,BONA_504_005,BONA,5,504,-0.27,Exclude,NA,activelayer,2,BONA,504,5,0.1,24
227,227,BONA_505_001,BONA,1,505,-0.46,Keep,0,activelayer,2,BONA,505,1,0.1,24
228,228,BONA_505_002,BONA,2,505,-0.45,Keep,0,activelayer,2,BONA,505,2,0.1,24
229,229,BONA_505_003,BONA,3,505,-0.46,Keep,0,activelayer,2,BONA,505,3,0.1,24
230,230,BONA_505_004,BONA,4,505,-0.46,Keep,0,activelayer,2,BONA,505,4,0.1,24
231,231,BONA_505_005,BONA,5,505,-0.47,Keep,0,activelayer,2,BONA,505,5,0.1,24
232,232,BONA_506_001,BONA,1,506,-0.76,Keep,0,activelayer,2,BONA,506,1,0.1,24
233,233,BONA_506_002,BONA,2,506,-0.75,Keep,0,activelayer,2,BONA,506,2,0.1,24
234,234,BONA_506_003,BONA,3,506,-0.76,Keep,0,activelayer,2,BONA,506,3,0.1,24
235,235,BONA_506_004,BONA,4,506,-0.76,Keep,0,activelayer,2,BONA,506,4,0.1,24
236,236,BONA_506_005,BONA,5,506,-0.77,Keep,0,activelayer,2,BONA,506,5,0.1,24
237,237,BONA_507_001,BONA,1,507,-1.06,Keep,0,activelayer,2,BONA,507,1,0.1,24
238,238,BONA_507_002,BONA,2,507,-1.05,Keep,0,activelayer,2,BONA,507,2,0.1,24
239,239,BONA_507_003,BONA,3,507,-1.06,Keep,0,activelayer,2,BONA,507,3,0.1,24
240,240,BONA_507_004,BONA,4,507,-1.06,Keep,0,activelayer,2,BONA,507,4,0.1,24
241,241,BONA_507_005,BONA,5,507,-1.07,Keep,0,activelayer,2,BONA,507,5,0.1,24
242,242,BONA_508_001,BONA,1,508,-1.56,Keep,0,activelayer,2,BONA,508,1,0.1,24
243,243,BONA_508_002,BONA,2,508,-1.55,Keep,0,activelayer,2,BONA,508,2,0.1,24
244,244,BONA_508_003,BONA,3,508,-1.56,Keep,0,activelayer,2,BONA,508,3,0.1,24
245,245,BONA_508_004,BONA,4,508,-1.56,Keep,0,activelayer,2,BONA,508,4,0.1,24
246,246,BONA_508_005,BONA,5,508,-1.57,Keep,0,activelayer,2,BONA,508,5,0.1,24
247,247,BONA_509_001,BONA,1,509,-1.86,Keep,0,activelayer,2,BONA,509,1,0.1,24
248,248,BONA_509_002,BONA,2,509,-1.85,Keep,0,activelayer,2,BONA,509,2,0.1,24
249,249,BONA_509_003,BONA,3,509,-1.86,Keep,0,activelayer,2,BONA,509,3,0.1,24
250,250,BONA_509_004,BONA,4,509,-1.96,Keep,0,activelayer,2,BONA,509,4,0.1,24
251,251,BONA_509_005,BONA,5,509,-2.07,Keep,0,activelayer,2,BONA,509,5,0.1,24
252,252,HEAL_501_001,HEAL,1,501,-0.03,Keep,6,activelayer,2,HEAL,501,1,0.1,24
253,253,HEAL_501_002,HEAL,2,501,-0.02,Keep,5,activelayer,2,HEAL,501,2,0.1,24
254,254,HEAL_501_003,HEAL,3,501,-0.02,Exclude,NA,activelayer,2,HEAL,501,3,0.1,24
255,255,HEAL_501_004,HEAL,4,501,-0.02,Keep,5,activelayer,2,HEAL,501,4,0.1,24
256,256,HEAL_501_005,HEAL,5,501,-0.02,Keep,6,activelayer,2,HEAL,501,5,0.1,24
257,257,HEAL_502_001,HEAL,1,502,-0.07,Keep,6,activelayer,2,HEAL,502,1,0.1,24
258,258,HEAL_502_002,HEAL,2,502,-0.06,Keep,5,activelayer,2,HEAL,502,2,0.1,24
259,259,HEAL_502_003,HEAL,3,502,-0.06,Keep,6,activelayer,2,HEAL,502,3,0.1,24
260,260,HEAL_502_004,HEAL,4,502,-0.06,Keep,5,activelayer,2,HEAL,502,4,0.1,24
261,261,HEAL_502_005,HEAL,5,502,-0.06,Keep,6,activelayer,2,HEAL,502,5,0.1,24
262,262,HEAL_503_001,HEAL,1,503,-0.17,Keep,6,activelayer,2,HEAL,503,1,0.1,24
263,263,HEAL_503_002,HEAL,2,503,-0.16,Keep,5,activelayer,2,HEAL,503,2,0.1,24
264,264,HEAL_503_003,HEAL,3,503,-0.16,Keep,6,activelayer,2,HEAL,503,3,0.1,24
265,265,HEAL_503_004,HEAL,4,503,-0.16,Keep,5,activelayer,2,HEAL,503,4,0.1,24
266,266,HEAL_503_005,HEAL,5,503,-0.16,Keep,4,activelayer,2,HEAL,503,5,0.1,24
267,267,HEAL_504_001,HEAL,1,504,-0.27,Keep,5,activelayer,2,HEAL,504,1,0.1,24
268,268,HEAL_504_002,HEAL,2,504,-0.26,Keep,4,activelayer,2,HEAL,504,2,0.1,24
269,269,HEAL_504_003,HEAL,3,504,-0.26,Keep,4,activelayer,2,HEAL,504,3,0.1,24
270,270,HEAL_504_004,HEAL,4,504,-0.26,Keep,5,activelayer,2,HEAL,504,4,0.1,24
271,271,HEAL_504_005,HEAL,5,504,-0.26,Keep,6,activelayer,2,HEAL,504,5,0.1,24
272,272,HEAL_505_001,HEAL,1,505,-0.37,Keep,5,activelayer,2,HEAL,505,1,0.1,24
273,273,HEAL_505_002,HEAL,2,505,-0.36,Exclude,NA,activelayer,2,HEAL,505,2,0.1,24
274,274,HEAL_505_003,HEAL,3,505,-0.36,Keep,3,activelayer,2,HEAL,505,3,0.1,24
275,275,HEAL_505_004,HEAL,4,505,-0.36,Keep,5,activelayer,2,HEAL,505,4,0.1,24
276,276,HEAL_505_005,HEAL,5,505,-0.36,Keep,5,activelayer,2,HEAL,505,5,0.1,24
277,277,HEAL_506_001,HEAL,1,506,-0.47,Keep,0,activelayer,2,HEAL,506,1,0.1,24
278,278,HEAL_506_002,HEAL,2,506,-0.46,Keep,0,activelayer,2,HEAL,506,2,0.1,24
279,279,HEAL_506_003,HEAL,3,506,-0.46,Keep,0,activelayer,2,HEAL,506,3,0.1,24
280,280,HEAL_506_004,HEAL,4,506,-0.46,Exclude,NA,activelayer,2,HEAL,506,4,0.1,24
281,281,HEAL_506_005,HEAL,5,506,-0.46,Keep,0,activelayer,2,HEAL,506,5,0.1,24
282,282,HEAL_507_001,HEAL,1,507,-0.67,Exclude,NA,activelayer,2,HEAL,507,1,0.1,24
283,283,HEAL_507_002,HEAL,2,507,-0.66,Keep,0,activelayer,2,HEAL,507,2,0.1,24
284,284,HEAL_507_003,HEAL,3,507,-0.66,Keep,0,activelayer,2,HEAL,507,3,0.1,24
285,285,HEAL_507_004,HEAL,4,507,-0.66,Keep,0,activelayer,2,HEAL,507,4,0.1,24
286,286,HEAL_507_005,HEAL,5,507,-0.66,Keep,0,activelayer,2,HEAL,507,5,0.1,24
287,287,HEAL_508_001,HEAL,1,508,-0.97,Exclude,NA,activelayer,2,HEAL,508,1,0.1,24
288,288,HEAL_508_002,HEAL,2,508,-0.96,Keep,0,activelayer,2,HEAL,508,2,0.1,24
289,289,HEAL_508_003,HEAL,3,508,-0.96,Keep,0,activelayer,2,HEAL,508,3,0.1,24
290,290,HEAL_508_004,HEAL,4,508,-0.96,Keep,0,activelayer,2,HEAL,508,4,0.1,24
291,291,HEAL_508_005,HEAL,5,508,-0.96,Keep,0,activelayer,2,HEAL,508,5,0.1,24
292,292,HEAL_509_001,HEAL,1,509,-1.57,Keep,0,activelayer,2,HEAL,509,1,0.1,24
293,293,HEAL_509_002,HEAL,2,509,-1.36,Keep,0,activelayer,2,HEAL,509,2,0.1,24
294,294,HEAL_509_003,HEAL,3,509,-1.26,Keep,0,activelayer,2,HEAL,509,3,0.1,24
295,295,HEAL_509_004,HEAL,4,509,-1.66,Keep,0,activelayer,2,HEAL,509,4,0.1,24
296,296,HEAL_509_005,HEAL,5,509,-1.26,Keep,0,activelayer,2,HEAL,509,5,0.1,24
297,297,TOOL_501_001,TOOL,1,501,-0.02,Keep,1,activelayer,2,TOOL,501,1,0.1,24
298,298,TOOL_501_002,TOOL,2,501,-0.02,Keep,3,activelayer,2,TOOL,501,2,0.1,24
299,299,TOOL_501_003,TOOL,3,501,-0.02,Keep,4,activelayer,2,TOOL,501,3,0.1,24
300,300,TOOL_501_004,TOOL,4,501,-0.02,Keep,4,activelayer,2,TOOL,501,4,0.1,24
301,301,TOOL_501_005,TOOL,5,501,-0.02,Keep,2,activelayer,2,TOOL,501,5,0.1,24
302,302,TOOL_502_001,TOOL,1,502,-0.06,Keep,0,activelayer,2,TOOL,502,1,0.1,24
303,303,TOOL_502_002,TOOL,2,502,-0.06,Keep,2,activelayer,2,TOOL,502,2,0.1,24
304,304,TOOL_502_003,TOOL,3,502,-0.06,Keep,4,activelayer,2,TOOL,502,3,0.1,24
305,305,TOOL_502_004,TOOL,4,502,-0.06,Keep,0,activelayer,2,TOOL,502,4,0.1,24
306,306,TOOL_502_005,TOOL,5,502,-0.06,Keep,0,activelayer,2,TOOL,502,5,0.1,24
307,307,TOOL_503_001,TOOL,1,503,-0.16,Keep,0,activelayer,2,TOOL,503,1,0.1,24
308,308,TOOL_503_002,TOOL,2,503,-0.16,Keep,0,activelayer,2,TOOL,503,2,0.1,24
309,309,TOOL_503_003,TOOL,3,503,-0.16,Keep,0,activelayer,2,TOOL,503,3,0.1,24
310,310,TOOL_503_004,TOOL,4,503,-0.16,Keep,0,activelayer,2,TOOL,503,4,0.1,24
311,311,TOOL_504_002,TOOL,2,504,-0.26,Keep,0,activelayer,2,TOOL,504,2,0.1,24
312,312,TOOL_504_003,TOOL,3,504,-0.26,Exclude,NA,activelayer,2,TOOL,504,3,0.1,24
313,313,TOOL_504_004,TOOL,4,504,-0.26,Keep,0,activelayer,2,TOOL,504,4,0.1,24
314,314,TOOL_505_002,TOOL,2,505,-0.36,Keep,0,activelayer,2,TOOL,505,2,0.1,24
315,315,TOOL_505_003,TOOL,3,505,-0.36,Keep,0,activelayer,2,TOOL,505,3,0.1,24
316,316,TOOL_505_004,TOOL,4,505,-0.36,Keep,0,activelayer,2,TOOL,505,4,0.1,24
317,317,TOOL_506_002,TOOL,2,506,-0.46,Keep,0,activelayer,2,TOOL,506,2,0.1,24
318,318,TOOL_506_003,TOOL,3,506,-0.46,Keep,0,activelayer,2,TOOL,506,3,0.1,24
319,319,TOOL_506_004,TOOL,4,506,-0.46,Keep,0,activelayer,2,TOOL,506,4,0.1,24
320,320,TOOL_507_002,TOOL,2,507,-0.56,Keep,0,activelayer,2,TOOL,507,2,0.1,24
321,321,TOOL_507_003,TOOL,3,507,-0.56,Keep,0,activelayer,2,TOOL,507,3,0.1,24
322,322,TOOL_507_004,TOOL,4,507,-0.56,Keep,0,activelayer,2,TOOL,507,4,0.1,24
1772,1772,BARR_501_001,BARR,1,501,-0.02,Keep,8,activelayer,2,BARR,501,1,0.1,1
1773,1773,BARR_501_002,BARR,2,501,-0.02,Keep,11,activelayer,2,BARR,501,2,0.1,1
1774,1774,BARR_501_003,BARR,3,501,-0.01,Keep,2,activelayer,2,BARR,501,3,0.1,1
1775,1775,BARR_501_004,BARR,4,501,-0.02,Exclude,NA,activelayer,2,BARR,501,4,0.1,1
1776,1776,BARR_501_005,BARR,5,501,-0.02,Keep,20,activelayer,2,BARR,501,5,0.1,1
1777,1777,BARR_502_001,BARR,1,502,-0.06,Keep,6,activelayer,2,BARR,502,1,0.1,1
1778,1778,BARR_502_002,BARR,2,502,-0.06,Keep,10,activelayer,2,BARR,502,2,0.1,1
1779,1779,BARR_502_003,BARR,3,502,-0.05,Keep,7,activelayer,2,BARR,502,3,0.1,1
1780,1780,BARR_502_004,BARR,4,502,-0.06,Keep,6,activelayer,2,BARR,502,4,0.1,1
1781,1781,BARR_502_005,BARR,5,502,-0.06,Keep,17,activelayer,2,BARR,502,5,0.1,1
1782,1782,BARR_503_001,BARR,1,503,-0.16,Exclude,NA,activelayer,2,BARR,503,1,0.1,1
1783,1783,BARR_503_002,BARR,2,503,-0.16,Exclude,NA,activelayer,2,BARR,503,2,0.1,1
1784,1784,BARR_503_003,BARR,3,503,-0.15,Keep,0,activelayer,2,BARR,503,3,0.1,1
1785,1785,BARR_503_004,BARR,4,503,-0.16,Keep,0,activelayer,2,BARR,503,4,0.1,1
1786,1786,BARR_503_005,BARR,5,503,-0.16,Keep,7,activelayer,2,BARR,503,5,0.1,1
1787,1787,BARR_504_001,BARR,1,504,-0.26,Keep,0,activelayer,2,BARR,504,1,0.1,1
1788,1788,BARR_504_002,BARR,2,504,-0.26,Exclude,NA,activelayer,2,BARR,504,2,0.1,1
1789,1789,BARR_504_003,BARR,3,504,-0.25,Keep,0,activelayer,2,BARR,504,3,0.1,1
1790,1790,BARR_504_004,BARR,4,504,-0.26,Keep,0,activelayer,2,BARR,504,4,0.1,1
1791,1791,BARR_504_005,BARR,5,504,-0.26,Keep,0,activelayer,2,BARR,504,5,0.1,1
1792,1792,BARR_505_001,BARR,1,505,-0.36,Keep,0,activelayer,2,BARR,505,1,0.1,1
1793,1793,BARR_505_002,BARR,2,505,-0.36,Exclude,NA,activelayer,2,BARR,505,2,0.1,1
1794,1794,BARR_505_003,BARR,3,505,-0.35,Keep,0,activelayer,2,BARR,505,3,0.1,1
1795,1795,BARR_505_004,BARR,4,505,-0.36,Keep,0,activelayer,2,BARR,505,4,0.1,1
1796,1796,BARR_505_005,BARR,5,505,-0.36,Keep,0,activelayer,2,BARR,505,5,0.1,1
1797,1797,BARR_506_001,BARR,1,506,-0.56,Keep,0,activelayer,2,BARR,506,1,0.1,1
1798,1798,BARR_506_002,BARR,2,506,-0.56,Keep,0,activelayer,2,BARR,506,2,0.1,1
1799,1799,BARR_506_003,BARR,3,506,-0.55,Keep,0,activelayer,2,BARR,506,3,0.1,1
1800,1800,BARR_506_004,BARR,4,506,-0.56,Keep,0,activelayer,2,BARR,506,4,0.1,1
1801,1801,BARR_506_005,BARR,5,506,-0.56,Exclude,NA,activelayer,2,BARR,506,5,0.1,1
1802,1802,BARR_507_001,BARR,1,507,-0.86,Keep,0,activelayer,2,BARR,507,1,0.1,1
1803,1803,BARR_507_002,BARR,2,507,-0.86,Keep,0,activelayer,2,BARR,507,2,0.1,1
1804,1804,BARR_507_003,BARR,3,507,-0.85,Keep,0,activelayer,2,BARR,507,3,0.1,1
1805,1805,BARR_507_004,BARR,4,507,-0.86,Keep,0,activelayer,2,BARR,507,4,0.1,1
1806,1806,BARR_507_005,BARR,5,507,-0.86,Keep,0,activelayer,2,BARR,507,5,0.1,1
1807,1807,BARR_508_001,BARR,1,508,-1.36,Keep,0,activelayer,2,BARR,508,1,0.1,1
1808,1808,BARR_508_002,BARR,2,508,-1.36,Keep,0,activelayer,2,BARR,508,2,0.1,1
1809,1809,BARR_508_003,BARR,3,508,-1.35,Keep,0,activelayer,2,BARR,508,3,0.1,1
1810,1810,BARR_508_004,BARR,4,508,-1.36,Keep,0,activelayer,2,BARR,508,4,0.1,1
1811,1811,BARR_508_005,BARR,5,508,-1.36,Keep,0,activelayer,2,BARR,508,5,0.1,1
1812,1812,BARR_509_001,BARR,1,509,-1.76,Keep,0,activelayer,2,BARR,509,1,0.1,1
1813,1813,BARR_509_002,BARR,2,509,-2.26,Keep,0,activelayer,2,BARR,509,2,0.1,1
1814,1814,BARR_509_003,BARR,3,509,-1.75,Keep,0,activelayer,2,BARR,509,3,0.1,1
1815,1815,BARR_509_004,BARR,4,509,-1.96,Keep,0,activelayer,2,BARR,509,4,0.1,1
1816,1816,BARR_509_005,BARR,5,509,-1.86,Keep,0,activelayer,2,BARR,509,5,0.1,1
1817,1817,BONA_501_001,BONA,1,501,-0.02,Keep,43,activelayer,2,BONA,501,1,0.1,1
1818,1818,BONA_501_002,BONA,2,501,-0.01,Keep,29,activelayer,2,BONA,501,2,0.1,1
1819,1819,BONA_501_003,BONA,3,501,-0.02,Keep,40,activelayer,2,BONA,501,3,0.1,1
1820,1820,BONA_501_004,BONA,4,501,-0.02,Keep,32,activelayer,2,BONA,501,4,0.1,1
1821,1821,BONA_501_005,BONA,5,501,-0.03,Keep,23,activelayer,2,BONA,501,5,0.1,1
1822,1822,BONA_502_001,BONA,1,502,-0.06,Keep,41,activelayer,2,BONA,502,1,0.1,1
1823,1823,BONA_502_002,BONA,2,502,-0.05,Keep,26,activelayer,2,BONA,502,2,0.1,1
1824,1824,BONA_502_003,BONA,3,502,-0.06,Keep,35,activelayer,2,BONA,502,3,0.1,1
1825,1825,BONA_502_004,BONA,4,502,-0.06,Keep,27,activelayer,2,BONA,502,4,0.1,1
1826,1826,BONA_502_005,BONA,5,502,-0.07,Keep,23,activelayer,2,BONA,502,5,0.1,1
1827,1827,BONA_503_001,BONA,1,503,-0.16,Keep,17,activelayer,2,BONA,503,1,0.1,1
1828,1828,BONA_503_002,BONA,2,503,-0.15,Keep,18,activelayer,2,BONA,503,2,0.1,1
1829,1829,BONA_503_003,BONA,3,503,-0.16,Keep,16,activelayer,2,BONA,503,3,0.1,1
1830,1830,BONA_503_004,BONA,4,503,-0.16,Keep,8,activelayer,2,BONA,503,4,0.1,1
1831,1831,BONA_503_005,BONA,5,503,-0.17,Keep,7,activelayer,2,BONA,503,5,0.1,1
1832,1832,BONA_504_001,BONA,1,504,-0.26,Keep,8,activelayer,2,BONA,504,1,0.1,1
1833,1833,BONA_504_002,BONA,2,504,-0.25,Keep,14,activelayer,2,BONA,504,2,0.1,1
1834,1834,BONA_504_003,BONA,3,504,-0.26,Keep,10,activelayer,2,BONA,504,3,0.1,1
1835,1835,BONA_504_004,BONA,4,504,-0.26,Keep,12,activelayer,2,BONA,504,4,0.1,1
1836,1836,BONA_504_005,BONA,5,504,-0.27,Exclude,NA,activelayer,2,BONA,504,5,0.1,1
1837,1837,BONA_505_001,BONA,1,505,-0.46,Keep,0,activelayer,2,BONA,505,1,0.1,1
1838,1838,BONA_505_002,BONA,2,505,-0.45,Keep,0,activelayer,2,BONA,505,2,0.1,1
1839,1839,BONA_505_003,BONA,3,505,-0.46,Keep,0,activelayer,2,BONA,505,3,0.1,1
1840,1840,BONA_505_004,BONA,4,505,-0.46,Keep,0,activelayer,2,BONA,505,4,0.1,1
1841,1841,BONA_505_005,BONA,5,505,-0.47,Keep,0,activelayer,2,BONA,505,5,0.1,1
1842,1842,BONA_506_001,BONA,1,506,-0.76,Keep,0,activelayer,2,BONA,506,1,0.1,1
1843,1843,BONA_506_002,BONA,2,506,-0.75,Keep,0,activelayer,2,BONA,506,2,0.1,1
1844,1844,BONA_506_003,BONA,3,506,-0.76,Keep,0,activelayer,2,BONA,506,3,0.1,1
1845,1845,BONA_506_004,BONA,4,506,-0.76,Keep,0,activelayer,2,BONA,506,4,0.1,1
1846,1846,BONA_506_005,BONA,5,506,-0.77,Keep,0,activelayer,2,BONA,506,5,0.1,1
1847,1847,BONA_507_001,BONA,1,507,-1.06,Keep,0,activelayer,2,BONA,507,1,0.1,1
1848,1848,BONA_507_002,BONA,2,507,-1.05,Keep,0,activelayer,2,BONA,507,2,0.1,1
1849,1849,BONA_507_003,BONA,3,507,-1.06,Keep,0,activelayer,2,BONA,507,3,0.1,1
1850,1850,BONA_507_004,BONA,4,507,-1.06,Keep,0,activelayer,2,BONA,507,4,0.1,1
1851,1851,BONA_507_005,BONA,5,507,-1.07,Keep,0,activelayer,2,BONA,507,5,0.1,1
