id,column_names,site_pos,core_pos,depth_pos,depth_m,Label,Def1,season,year,site,depth,core,mag.vec,duration,thres.vec
1,TOOL_501_001,TOOL,1,501,-0.02,Exclude,NA,fall,1,TOOL,501,1,4,24,2
2,TOOL_502_001,TOOL,1,502,-0.06,Exclude,NA,fall,1,TOOL,502,1,4,24,2
3,TOOL_503_001,TOOL,1,503,-0.16,Exclude,NA,fall,1,TOOL,503,1,4,24,2
4,TOOL_501_002,TOOL,2,501,-0.02,Keep,1,fall,1,TOOL,501,2,4,24,2
5,TOOL_502_002,TOOL,2,502,-0.06,Keep,1,fall,1,TOOL,502,2,4,24,2
6,TOOL_503_002,TOOL,2,503,-0.16,Keep,0,fall,1,TOOL,503,2,4,24,2
7,TOOL_504_002,TOOL,2,504,-0.26,Keep,0,fall,1,TOOL,504,2,4,24,2
8,TOOL_505_002,TOOL,2,505,-0.36,Keep,0,fall,1,TOOL,505,2,4,24,2
9,TOOL_506_002,TOOL,2,506,-0.46,Keep,0,fall,1,TOOL,506,2,4,24,2
10,TOOL_507_002,TOOL,2,507,-0.56,Keep,0,fall,1,TOOL,507,2,4,24,2
11,TOOL_501_003,TOOL,3,501,-0.02,Exclude,NA,fall,1,TOOL,501,3,4,24,2
12,TOOL_502_003,TOOL,3,502,-0.06,Exclude,NA,fall,1,TOOL,502,3,4,24,2
13,TOOL_503_003,TOOL,3,503,-0.16,Exclude,NA,fall,1,TOOL,503,3,4,24,2
14,TOOL_504_003,TOOL,3,504,-0.26,Exclude,NA,fall,1,TOOL,504,3,4,24,2
15,TOOL_505_003,TOOL,3,505,-0.36,Exclude,NA,fall,1,TOOL,505,3,4,24,2
16,TOOL_506_003,TOOL,3,506,-0.46,Exclude,NA,fall,1,TOOL,506,3,4,24,2
17,TOOL_507_003,TOOL,3,507,-0.56,Exclude,NA,fall,1,TOOL,507,3,4,24,2
18,TOOL_501_004,TOOL,4,501,-0.02,Keep,0,fall,1,TOOL,501,4,4,24,2
19,TOOL_502_004,TOOL,4,502,-0.06,Keep,0,fall,1,TOOL,502,4,4,24,2
20,TOOL_503_004,TOOL,4,503,-0.16,Keep,0,fall,1,TOOL,503,4,4,24,2
21,TOOL_504_004,TOOL,4,504,-0.26,Keep,0,fall,1,TOOL,504,4,4,24,2
22,TOOL_505_004,TOOL,4,505,-0.36,Keep,0,fall,1,TOOL,505,4,4,24,2
23,TOOL_506_004,TOOL,4,506,-0.46,Keep,0,fall,1,TOOL,506,4,4,24,2
24,TOOL_507_004,TOOL,4,507,-0.56,Keep,0,fall,1,TOOL,507,4,4,24,2
25,TOOL_501_005,TOOL,5,501,-0.02,Exclude,NA,fall,1,TOOL,501,5,4,24,2
26,TOOL_502_005,TOOL,5,502,-0.06,Exclude,NA,fall,1,TOOL,502,5,4,24,2
27,TOOL_501_001,TOOL,1,501,-0.02,Keep,0,fall,2,TOOL,501,1,4,24,2
28,TOOL_502_001,TOOL,1,502,-0.06,Keep,0,fall,2,TOOL,502,1,4,24,2
29,TOOL_503_001,TOOL,1,503,-0.16,Keep,0,fall,2,TOOL,503,1,4,24,2
30,TOOL_501_002,TOOL,2,501,-0.02,Exclude,NA,fall,2,TOOL,501,2,4,24,2
31,TOOL_502_002,TOOL,2,502,-0.06,Exclude,NA,fall,2,TOOL,502,2,4,24,2
32,TOOL_503_002,TOOL,2,503,-0.16,Exclude,NA,fall,2,TOOL,503,2,4,24,2
33,TOOL_504_002,TOOL,2,504,-0.26,Exclude,NA,fall,2,TOOL,504,2,4,24,2
34,TOOL_505_002,TOOL,2,505,-0.36,Exclude,NA,fall,2,TOOL,505,2,4,24,2
35,TOOL_506_002,TOOL,2,506,-0.46,Exclude,NA,fall,2,TOOL,506,2,4,24,2
36,TOOL_507_002,TOOL,2,507,-0.56,Keep,0,fall,2,TOOL,507,2,4,24,2
37,TOOL_501_003,TOOL,3,501,-0.02,Keep,1,fall,2,TOOL,501,3,4,24,2
38,TOOL_502_003,TOOL,3,502,-0.06,Keep,1,fall,2,TOOL,502,3,4,24,2
39,TOOL_503_003,TOOL,3,503,-0.16,Keep,0,fall,2,TOOL,503,3,4,24,2
40,TOOL_504_003,TOOL,3,504,-0.26,Keep,0,fall,2,TOOL,504,3,4,24,2
41,TOOL_505_003,TOOL,3,505,-0.36,Keep,0,fall,2,TOOL,505,3,4,24,2
42,TOOL_506_003,TOOL,3,506,-0.46,Keep,0,fall,2,TOOL,506,3,4,24,2
43,TOOL_507_003,TOOL,3,507,-0.56,Keep,0,fall,2,TOOL,507,3,4,24,2
44,TOOL_501_004,TOOL,4,501,-0.02,Keep,0,fall,2,TOOL,501,4,4,24,2
45,TOOL_502_004,TOOL,4,502,-0.06,Keep,0,fall,2,TOOL,502,4,4,24,2
46,TOOL_503_004,TOOL,4,503,-0.16,Keep,0,fall,2,TOOL,503,4,4,24,2
47,TOOL_504_004,TOOL,4,504,-0.26,Keep,0,fall,2,TOOL,504,4,4,24,2
48,TOOL_505_004,TOOL,4,505,-0.36,Keep,0,fall,2,TOOL,505,4,4,24,2
49,TOOL_506_004,TOOL,4,506,-0.46,Keep,0,fall,2,TOOL,506,4,4,24,2
50,TOOL_507_004,TOOL,4,507,-0.56,Keep,0,fall,2,TOOL,507,4,4,24,2
51,TOOL_501_005,TOOL,5,501,-0.02,Exclude,NA,fall,2,TOOL,501,5,4,24,2
52,TOOL_502_005,TOOL,5,502,-0.06,Exclude,NA,fall,2,TOOL,502,5,4,24,2
53,TOOL_501_001,TOOL,1,501,-0.02,Keep,0,fall,3,TOOL,501,1,4,24,2
54,TOOL_502_001,TOOL,1,502,-0.06,Keep,0,fall,3,TOOL,502,1,4,24,2
55,TOOL_503_001,TOOL,1,503,-0.16,Keep,0,fall,3,TOOL,503,1,4,24,2
56,TOOL_501_002,TOOL,2,501,-0.02,Keep,0,fall,3,TOOL,501,2,4,24,2
57,TOOL_502_002,TOOL,2,502,-0.06,Keep,0,fall,3,TOOL,502,2,4,24,2
58,TOOL_503_002,TOOL,2,503,-0.16,Keep,0,fall,3,TOOL,503,2,4,24,2
59,TOOL_504_002,TOOL,2,504,-0.26,Keep,0,fall,3,TOOL,504,2,4,24,2
60,TOOL_505_002,TOOL,2,505,-0.36,Keep,0,fall,3,TOOL,505,2,4,24,2
61,TOOL_506_002,TOOL,2,506,-0.46,Keep,0,fall,3,TOOL,506,2,4,24,2
62,TOOL_507_002,TOOL,2,507,-0.56,Keep,0,fall,3,TOOL,507,2,4,24,2
63,TOOL_501_003,TOOL,3,501,-0.02,Keep,1,fall,3,TOOL,501,3,4,24,2
64,TOOL_502_003,TOOL,3,502,-0.06,Keep,0,fall,3,TOOL,502,3,4,24,2
65,TOOL_503_003,TOOL,3,503,-0.16,Keep,0,fall,3,TOOL,503,3,4,24,2
66,TOOL_504_003,TOOL,3,504,-0.26,Exclude,NA,fall,3,TOOL,504,3,4,24,2
67,TOOL_505_003,TOOL,3,505,-0.36,Keep,0,fall,3,TOOL,505,3,4,24,2
68,TOOL_506_003,TOOL,3,506,-0.46,Keep,0,fall,3,TOOL,506,3,4,24,2
69,TOOL_507_003,TOOL,3,507,-0.56,Keep,0,fall,3,TOOL,507,3,4,24,2
70,TOOL_501_004,TOOL,4,501,-0.02,Keep,1,fall,3,TOOL,501,4,4,24,2
71,TOOL_502_004,TOOL,4,502,-0.06,Keep,0,fall,3,TOOL,502,4,4,24,2
72,TOOL_503_004,TOOL,4,503,-0.16,Keep,0,fall,3,TOOL,503,4,4,24,2
73,TOOL_504_004,TOOL,4,504,-0.26,Keep,0,fall,3,TOOL,504,4,4,24,2
74,TOOL_505_004,TOOL,4,505,-0.36,Keep,0,fall,3,TOOL,505,4,4,24,2
75,TOOL_506_004,TOOL,4,506,-0.46,Keep,0,fall,3,TOOL,506,4,4,24,2
76,TOOL_507_004,TOOL,4,507,-0.56,Keep,0,fall,3,TOOL,507,4,4,24,2
77,TOOL_501_005,TOOL,5,501,-0.02,Keep,0,fall,3,TOOL,501,5,4,24,2
78,TOOL_502_005,TOOL,5,502,-0.06,Keep,0,fall,3,TOOL,502,5,4,24,2
79,TOOL_501_001,TOOL,1,501,-0.02,Keep,0,spring,1,TOOL,501,1,4,24,2
80,TOOL_502_001,TOOL,1,502,-0.06,Keep,0,spring,1,TOOL,502,1,4,24,2
81,TOOL_503_001,TOOL,1,503,-0.16,Keep,0,spring,1,TOOL,503,1,4,24,2
82,TOOL_501_002,TOOL,2,501,-0.02,Exclude,NA,spring,1,TOOL,501,2,4,24,2
83,TOOL_502_002,TOOL,2,502,-0.06,Exclude,NA,spring,1,TOOL,502,2,4,24,2
84,TOOL_503_002,TOOL,2,503,-0.16,Exclude,NA,spring,1,TOOL,503,2,4,24,2
85,TOOL_504_002,TOOL,2,504,-0.26,Exclude,NA,spring,1,TOOL,504,2,4,24,2
86,TOOL_505_002,TOOL,2,505,-0.36,Exclude,NA,spring,1,TOOL,505,2,4,24,2
87,TOOL_506_002,TOOL,2,506,-0.46,Exclude,NA,spring,1,TOOL,506,2,4,24,2
88,TOOL_507_002,TOOL,2,507,-0.56,Exclude,NA,spring,1,TOOL,507,2,4,24,2
89,TOOL_501_003,TOOL,3,501,-0.02,Keep,0,spring,1,TOOL,501,3,4,24,2
90,TOOL_502_003,TOOL,3,502,-0.06,Keep,0,spring,1,TOOL,502,3,4,24,2
91,TOOL_503_003,TOOL,3,503,-0.16,Keep,0,spring,1,TOOL,503,3,4,24,2
92,TOOL_504_003,TOOL,3,504,-0.26,Keep,0,spring,1,TOOL,504,3,4,24,2
93,TOOL_505_003,TOOL,3,505,-0.36,Keep,0,spring,1,TOOL,505,3,4,24,2
94,TOOL_506_003,TOOL,3,506,-0.46,Keep,0,spring,1,TOOL,506,3,4,24,2
95,TOOL_507_003,TOOL,3,507,-0.56,Keep,0,spring,1,TOOL,507,3,4,24,2
96,TOOL_501_004,TOOL,4,501,-0.02,Keep,0,spring,1,TOOL,501,4,4,24,2
97,TOOL_502_004,TOOL,4,502,-0.06,Keep,0,spring,1,TOOL,502,4,4,24,2
98,TOOL_503_004,TOOL,4,503,-0.16,Keep,0,spring,1,TOOL,503,4,4,24,2
99,TOOL_504_004,TOOL,4,504,-0.26,Keep,0,spring,1,TOOL,504,4,4,24,2
100,TOOL_505_004,TOOL,4,505,-0.36,Keep,0,spring,1,TOOL,505,4,4,24,2
101,TOOL_506_004,TOOL,4,506,-0.46,Keep,0,spring,1,TOOL,506,4,4,24,2
102,TOOL_507_004,TOOL,4,507,-0.56,Keep,0,spring,1,TOOL,507,4,4,24,2
103,TOOL_501_005,TOOL,5,501,-0.02,Keep,0,spring,1,TOOL,501,5,4,24,2
104,TOOL_502_005,TOOL,5,502,-0.06,Keep,0,spring,1,TOOL,502,5,4,24,2
105,TOOL_501_001,TOOL,1,501,-0.02,Exclude,NA,spring,2,TOOL,501,1,4,24,2
106,TOOL_502_001,TOOL,1,502,-0.06,Exclude,NA,spring,2,TOOL,502,1,4,24,2
107,TOOL_503_001,TOOL,1,503,-0.16,Exclude,NA,spring,2,TOOL,503,1,4,24,2
108,TOOL_501_002,TOOL,2,501,-0.02,Exclude,NA,spring,2,TOOL,501,2,4,24,2
109,TOOL_502_002,TOOL,2,502,-0.06,Exclude,NA,spring,2,TOOL,502,2,4,24,2
110,TOOL_503_002,TOOL,2,503,-0.16,Exclude,NA,spring,2,TOOL,503,2,4,24,2
111,TOOL_504_002,TOOL,2,504,-0.26,Exclude,NA,spring,2,TOOL,504,2,4,24,2
112,TOOL_505_002,TOOL,2,505,-0.36,Exclude,NA,spring,2,TOOL,505,2,4,24,2
113,TOOL_506_002,TOOL,2,506,-0.46,Exclude,NA,spring,2,TOOL,506,2,4,24,2
114,TOOL_507_002,TOOL,2,507,-0.56,Exclude,NA,spring,2,TOOL,507,2,4,24,2
115,TOOL_501_003,TOOL,3,501,-0.02,Exclude,NA,spring,2,TOOL,501,3,4,24,2
116,TOOL_502_003,TOOL,3,502,-0.06,Exclude,NA,spring,2,TOOL,502,3,4,24,2
117,TOOL_503_003,TOOL,3,503,-0.16,Exclude,NA,spring,2,TOOL,503,3,4,24,2
118,TOOL_504_003,TOOL,3,504,-0.26,Exclude,NA,spring,2,TOOL,504,3,4,24,2
119,TOOL_505_003,TOOL,3,505,-0.36,Exclude,NA,spring,2,TOOL,505,3,4,24,2
120,TOOL_506_003,TOOL,3,506,-0.46,Exclude,NA,spring,2,TOOL,506,3,4,24,2
121,TOOL_507_003,TOOL,3,507,-0.56,Exclude,NA,spring,2,TOOL,507,3,4,24,2
122,TOOL_501_004,TOOL,4,501,-0.02,Exclude,NA,spring,2,TOOL,501,4,4,24,2
123,TOOL_502_004,TOOL,4,502,-0.06,Exclude,NA,spring,2,TOOL,502,4,4,24,2
124,TOOL_503_004,TOOL,4,503,-0.16,Exclude,NA,spring,2,TOOL,503,4,4,24,2
125,TOOL_504_004,TOOL,4,504,-0.26,Exclude,NA,spring,2,TOOL,504,4,4,24,2
126,TOOL_505_004,TOOL,4,505,-0.36,Exclude,NA,spring,2,TOOL,505,4,4,24,2
127,TOOL_506_004,TOOL,4,506,-0.46,Exclude,NA,spring,2,TOOL,506,4,4,24,2
128,TOOL_507_004,TOOL,4,507,-0.56,Exclude,NA,spring,2,TOOL,507,4,4,24,2
129,TOOL_501_005,TOOL,5,501,-0.02,Exclude,NA,spring,2,TOOL,501,5,4,24,2
130,TOOL_502_005,TOOL,5,502,-0.06,Exclude,NA,spring,2,TOOL,502,5,4,24,2
131,TOOL_501_001,TOOL,1,501,-0.02,Keep,0,spring,3,TOOL,501,1,4,24,2
132,TOOL_502_001,TOOL,1,502,-0.06,Keep,0,spring,3,TOOL,502,1,4,24,2
133,TOOL_503_001,TOOL,1,503,-0.16,Keep,0,spring,3,TOOL,503,1,4,24,2
134,TOOL_501_002,TOOL,2,501,-0.02,Keep,1,spring,3,TOOL,501,2,4,24,2
135,TOOL_502_002,TOOL,2,502,-0.06,Keep,0,spring,3,TOOL,502,2,4,24,2
136,TOOL_503_002,TOOL,2,503,-0.16,Keep,0,spring,3,TOOL,503,2,4,24,2
137,TOOL_504_002,TOOL,2,504,-0.26,Keep,0,spring,3,TOOL,504,2,4,24,2
138,TOOL_505_002,TOOL,2,505,-0.36,Keep,0,spring,3,TOOL,505,2,4,24,2
139,TOOL_506_002,TOOL,2,506,-0.46,Keep,0,spring,3,TOOL,506,2,4,24,2
140,TOOL_507_002,TOOL,2,507,-0.56,Keep,0,spring,3,TOOL,507,2,4,24,2
141,TOOL_501_003,TOOL,3,501,-0.02,Exclude,NA,spring,3,TOOL,501,3,4,24,2
142,TOOL_502_003,TOOL,3,502,-0.06,Exclude,NA,spring,3,TOOL,502,3,4,24,2
143,TOOL_503_003,TOOL,3,503,-0.16,Exclude,NA,spring,3,TOOL,503,3,4,24,2
144,TOOL_504_003,TOOL,3,504,-0.26,Exclude,NA,spring,3,TOOL,504,3,4,24,2
145,TOOL_505_003,TOOL,3,505,-0.36,Exclude,NA,spring,3,TOOL,505,3,4,24,2
146,TOOL_506_003,TOOL,3,506,-0.46,Exclude,NA,spring,3,TOOL,506,3,4,24,2
147,TOOL_507_003,TOOL,3,507,-0.56,Exclude,NA,spring,3,TOOL,507,3,4,24,2
148,TOOL_501_004,TOOL,4,501,-0.02,Keep,1,spring,3,TOOL,501,4,4,24,2
149,TOOL_502_004,TOOL,4,502,-0.06,Exclude,NA,spring,3,TOOL,502,4,4,24,2
150,TOOL_503_004,TOOL,4,503,-0.16,Keep,0,spring,3,TOOL,503,4,4,24,2
151,TOOL_504_004,TOOL,4,504,-0.26,Keep,0,spring,3,TOOL,504,4,4,24,2
152,TOOL_505_004,TOOL,4,505,-0.36,Keep,0,spring,3,TOOL,505,4,4,24,2
153,TOOL_506_004,TOOL,4,506,-0.46,Keep,0,spring,3,TOOL,506,4,4,24,2
154,TOOL_507_004,TOOL,4,507,-0.56,Keep,0,spring,3,TOOL,507,4,4,24,2
155,TOOL_501_005,TOOL,5,501,-0.02,Keep,1,spring,3,TOOL,501,5,4,24,2
156,TOOL_502_005,TOOL,5,502,-0.06,Keep,1,spring,3,TOOL,502,5,4,24,2
157,TOOL_501_001,TOOL,1,501,-0.02,Exclude,NA,summer,1,TOOL,501,1,4,24,2
