horizon,id,site,top,bottom,mid,trmt,day,gain_co2_ug_g_oc
Oae,1,healy,16,30,23,control,day1,525.5758567
Oae,2,healy,12,24,18,control,day1,221.3983777
BCfgjj,3,healy,40,54,47,control,day1,429.4517507
Af,4,tool,41,50,45.5,control,day1,489.8765518
Oaef,5,tool,28,38,33,control,day1,275.8246226
Af,6,tool,40,50,45,control,day1,237.4360434
Af,7,tool,50,58,54,control,day1,471.042543
Oaef,8,tool,30,40,35,control,day1,262.5352803
Oaef,17,tool,38,44,41,control,day1,355.2111369
Afjj,18,healy,24,33,28.5,control,day1,479.9224213
Afjj,21,healy,28,34,31,control,day1,219.4461507
BCfjj,24,tool,60,67,63.5,control,day1,776.1189972
Af,25,tool,50,60,55,control,day1,206.94287
Af,26,tool,44,58,51,control,day1,179.7064849
Afjj,30,healy,30,38,34,control,day1,270.6289832
BCfgjj,9,healy,40,54,47,ftc,day1,685.5140708
Af,10,tool,44,58,51,ftc,day1,356.5865538
Oae,11,healy,12,24,18,ftc,day1,231.9256068
Oae,12,healy,16,30,23,ftc,day1,421.9997093
Afjj,13,healy,28,34,31,ftc,day1,212.3518634
Af,14,tool,41,50,45.5,ftc,day1,283.0951584
Afjj,15,healy,30,38,34,ftc,day1,465.5709809
Af,16,tool,40,50,45,ftc,day1,214.3110144
Af,19,tool,50,58,54,ftc,day1,532.8370354
Afjj,20,healy,24,33,28.5,ftc,day1,396.161183
Oaef,22,tool,38,44,41,ftc,day1,647.4729157
Oaef,23,tool,30,40,35,ftc,day1,323.0043639
Af,27,tool,50,60,55,ftc,day1,163.3853572
Oaef,28,tool,28,38,33,ftc,day1,373.2057761
BCfjj,29,tool,60,67,63.5,ftc,day1,341.624327
Oae,1,healy,16,30,23,control,day14,259.3940672
Oae,2,healy,12,24,18,control,day14,127.6398527
BCfgjj,3,healy,40,54,47,control,day14,202.204085
Af,4,tool,41,50,45.5,control,day14,171.7981332
Oaef,5,tool,28,38,33,control,day14,128.6371351
Af,6,tool,40,50,45,control,day14,106.7053593
Af,7,tool,50,58,54,control,day14,153.6888399
Oaef,8,tool,30,40,35,control,day14,155.2185575
Oaef,17,tool,38,44,41,control,day14,70.9437523
Afjj,18,healy,24,33,28.5,control,day14,191.0045385
Afjj,21,healy,28,34,31,control,day14,88.20856117
BCfjj,24,tool,60,67,63.5,control,day14,181.0336671
Af,25,tool,50,60,55,control,day14,98.77568433
Af,26,tool,44,58,51,control,day14,83.25546943
Afjj,30,healy,30,38,34,control,day14,164.9193776
BCfgjj,9,healy,40,54,47,ftc,day14,225.9759078
Af,10,tool,44,58,51,ftc,day14,52.35039461
Oae,11,healy,12,24,18,ftc,day14,107.3531585
Oae,12,healy,16,30,23,ftc,day14,246.6008857
Afjj,13,healy,28,34,31,ftc,day14,88.26486689
Af,14,tool,41,50,45.5,ftc,day14,84.67286355
Afjj,15,healy,30,38,34,ftc,day14,150.1619462
Af,16,tool,40,50,45,ftc,day14,150.6457484
Af,19,tool,50,58,54,ftc,day14,170.0667981
Afjj,20,healy,24,33,28.5,ftc,day14,141.6941537
Oaef,22,tool,38,44,41,ftc,day14,51.40764685
Oaef,23,tool,30,40,35,ftc,day14,188.1822313
Af,27,tool,50,60,55,ftc,day14,117.3441603
Oaef,28,tool,28,38,33,ftc,day14,112.6438871
BCfjj,29,tool,60,67,63.5,ftc,day14,177.3209329
Oae,1,healy,16,30,23,control,day4,450.1167272
Oae,2,healy,12,24,18,control,day4,182.1394485
BCfgjj,3,healy,40,54,47,control,day4,405.5493638
Af,4,tool,41,50,45.5,control,day4,282.9786058
Oaef,5,tool,28,38,33,control,day4,275.0958088
Af,6,tool,40,50,45,control,day4,186.6347617
Af,7,tool,50,58,54,control,day4,250.8501004
Oaef,8,tool,30,40,35,control,day4,214.2031301
Oaef,17,tool,38,44,41,control,day4,360.8464525
Afjj,18,healy,24,33,28.5,control,day4,409.381147
Afjj,21,healy,28,34,31,control,day4,261.8371339
BCfjj,24,tool,60,67,63.5,control,day4,1087.441146
Af,25,tool,50,60,55,control,day4,271.7193061
Af,26,tool,44,58,51,control,day4,145.3819222
Afjj,30,healy,30,38,34,control,day4,270.5570734
BCfgjj,9,healy,40,54,47,ftc,day4,338.9136776
Af,10,tool,44,58,51,ftc,day4,220.0436389
Oae,11,healy,12,24,18,ftc,day4,79.2449962
Oae,12,healy,16,30,23,ftc,day4,161.8925302
Afjj,13,healy,28,34,31,ftc,day4,112.4850844
Af,14,tool,41,50,45.5,ftc,day4,356.4601855
Afjj,15,healy,30,38,34,ftc,day4,66.74382447
Af,16,tool,40,50,45,ftc,day4,637.1850282
Af,19,tool,50,58,54,ftc,day4,182.7744224
Afjj,20,healy,24,33,28.5,ftc,day4,309.3745816
Oaef,22,tool,38,44,41,ftc,day4,137.6763178
Oaef,23,tool,30,40,35,ftc,day4,63.58181601
Af,27,tool,50,60,55,ftc,day4,122.5236262
Oaef,28,tool,28,38,33,ftc,day4,226.1922745
BCfjj,29,tool,60,67,63.5,ftc,day4,753.4463626
Oae,1,healy,16,30,23,control,day7,321.7296443
Oae,2,healy,12,24,18,control,day7,143.0023076
BCfgjj,3,healy,40,54,47,control,day7,287.1424524
Af,4,tool,41,50,45.5,control,day7,260.4118174
Oaef,5,tool,28,38,33,control,day7,221.1924954
Af,6,tool,40,50,45,control,day7,156.5548808
Af,7,tool,50,58,54,control,day7,191.3988008
Oaef,8,tool,30,40,35,control,day7,170.0320869
Oaef,17,tool,38,44,41,control,day7,108.1192353
Afjj,18,healy,24,33,28.5,control,day7,270.4616443
Afjj,21,healy,28,34,31,control,day7,114.5430959
BCfjj,24,tool,60,67,63.5,control,day7,223.9726214
Af,25,tool,50,60,55,control,day7,154.1010315
Af,26,tool,44,58,51,control,day7,137.1100506
Afjj,30,healy,30,38,34,control,day7,204.854566
BCfgjj,9,healy,40,54,47,ftc,day7,334.1382463
Af,10,tool,44,58,51,ftc,day7,180.0441104
Oae,11,healy,12,24,18,ftc,day7,133.196356
Oae,12,healy,16,30,23,ftc,day7,282.0117165
Afjj,13,healy,28,34,31,ftc,day7,116.8609851
Af,14,tool,41,50,45.5,ftc,day7,147.2658041
Afjj,15,healy,30,38,34,ftc,day7,205.4875957
Af,16,tool,40,50,45,ftc,day7,222.1160633
Af,19,tool,50,58,54,ftc,day7,203.4872455
Afjj,20,healy,24,33,28.5,ftc,day7,225.4000903
Oaef,22,tool,38,44,41,ftc,day7,191.4090191
Oaef,23,tool,30,40,35,ftc,day7,200.641518
Af,27,tool,50,60,55,ftc,day7,145.6585184
Oaef,28,tool,28,38,33,ftc,day7,170.9125035
BCfjj,29,tool,60,67,63.5,ftc,day7,191.2000307
